wavenumber;PC1
3772,678;0,008026984
3770,749;0,007938412
3768,82;0,006418317
3766,892;0,00559878
3764,963;0,005732808
3763,034;0,006212904
3761,105;0,006424345
3759,177;0,006552366
3757,248;0,008137164
3755,319;0,010802117
3753,39;0,012829539
3751,461;0,012321889
3749,533;0,01059149
3747,604;0,011098238
3745,675;0,012123387
3743,746;0,011112019
3741,818;0,010649929
3739,889;0,012580077
3737,96;0,015328779
3736,031;0,015870873
3734,102;0,012419939
3732,174;0,009955796
3730,245;0,011062471
3728,316;0,013205377
3726,387;0,014030916
3724,459;0,013411419
3722,53;0,0124235
3720,601;0,011658
3718,672;0,011628617
3716,744;0,012395637
3714,815;0,013368048
3712,886;0,013281145
3710,957;0,012029531
3709,028;0,011541584
3707,1;0,012366246
3705,171;0,013773379
3703,242;0,014567839
3701,313;0,014560752
3699,385;0,014799801
3697,456;0,015296048
3695,527;0,015813571
3693,598;0,016851655
3691,669;0,018073154
3689,741;0,017605836
3687,812;0,015892652
3685,883;0,015971986
3683,954;0,017554381
3682,026;0,019187843
3680,097;0,020624617
3678,168;0,021780375
3676,239;0,020956401
3674,311;0,019699501
3672,382;0,020758368
3670,453;0,021525329
3668,524;0,021238613
3666,595;0,021749973
3664,667;0,022863306
3662,738;0,023719172
3660,809;0,024357993
3658,88;0,025234106
3656,952;0,026178809
3655,023;0,02790856
3653,094;0,031299438
3651,165;0,034577797
3649,237;0,03387551
3647,308;0,030592086
3645,379;0,030115806
3643,45;0,031098442
3641,521;0,031666613
3639,593;0,032297105
3637,664;0,033781958
3635,735;0,035585123
3633,806;0,037364037
3631,878;0,038932868
3629,949;0,038998862
3628,02;0,038662575
3626,091;0,039896155
3624,162;0,041177699
3622,234;0,041852065
3620,305;0,042164717
3618,376;0,042254206
3616,447;0,04278532
3614,519;0,04362333
3612,59;0,0443125
3610,661;0,04507948
3608,732;0,045302397
3606,804;0,045304212
3604,875;0,046328455
3602,946;0,047236059
3601,017;0,046849896
3599,088;0,04629589
3597,16;0,046526131
3595,231;0,046886701
3593,302;0,04735964
3591,373;0,0483995
3589,445;0,049006834
3587,516;0,048109321
3585,587;0,04687767
3583,658;0,046721881
3581,729;0,047332677
3579,801;0,04780054
3577,872;0,04793563
3575,943;0,048007469
3574,014;0,048002187
3572,086;0,048280749
3570,157;0,048958254
3568,228;0,048994768
3566,299;0,047832167
3564,371;0,046615237
3562,442;0,045707049
3560,513;0,044769385
3558,584;0,044101039
3556,655;0,043669275
3554,727;0,043312823
3552,798;0,043442412
3550,869;0,044072881
3548,94;0,044380316
3547,012;0,043975812
3545,083;0,043059119
3543,154;0,041977433
3541,225;0,041247569
3539,297;0,040612221
3537,368;0,03956108
3535,439;0,038666094
3533,51;0,038140898
3531,581;0,037457105
3529,653;0,036606154
3527,724;0,035779072
3525,795;0,035092201
3523,866;0,034709483
3521,938;0,034512337
3520,009;0,034115024
3518,08;0,033324267
3516,151;0,032176416
3514,222;0,030677528
3512,294;0,029144996
3510,365;0,028193505
3508,436;0,027885675
3506,507;0,027406324
3504,579;0,025990233
3502,65;0,024360855
3500,721;0,023587583
3498,792;0,022971184
3496,864;0,021972276
3494,935;0,02095206
3493,006;0,019783059
3491,077;0,01850906
3489,148;0,017677883
3487,22;0,017267049
3485,291;0,016545045
3483,362;0,014955893
3481,433;0,013202876
3479,505;0,012181837
3477,576;0,011330233
3475,647;0,010113617
3473,718;0,008730344
3471,789;0,007398202
3469,861;0,006321898
3467,932;0,005586621
3466,003;0,005041407
3464,074;0,004277371
3462,146;0,003343012
3460,217;0,002499961
3458,288;0,001181266
3456,359;-0,00051958
3454,431;-0,001738684
3452,502;-0,002643473
3450,573;-0,003576167
3448,644;-0,004438695
3446,715;-0,005454994
3444,787;-0,006538641
3442,858;-0,007306524
3440,929;-0,008216389
3439;-0,009641066
3437,072;-0,010806806
3435,143;-0,011282898
3433,214;-0,011701799
3431,285;-0,012502385
3429,357;-0,013604944
3427,428;-0,014681484
3425,499;-0,015308235
3423,57;-0,015565305
3421,641;-0,016121904
3419,713;-0,017147601
3417,784;-0,018140003
3415,855;-0,019193236
3413,926;-0,020400478
3411,998;-0,021366055
3410,069;-0,022449777
3408,14;-0,02386063
3406,211;-0,024620355
3404,282;-0,024647636
3402,354;-0,025287881
3400,425;-0,026673501
3398,496;-0,02754094
3396,567;-0,027799258
3394,639;-0,028615443
3392,71;-0,030218013
3390,781;-0,031555932
3388,852;-0,031911977
3386,924;-0,031677191
3384,995;-0,031644261
3383,066;-0,032097567
3381,137;-0,032749326
3379,208;-0,033213264
3377,28;-0,033520036
3375,351;-0,034358884
3373,422;-0,035750581
3371,493;-0,036781728
3369,565;-0,037493851
3367,636;-0,038325175
3365,707;-0,038853075
3363,778;-0,038912431
3361,849;-0,038608802
3359,921;-0,038178923
3357,992;-0,038328872
3356,063;-0,038762531
3354,134;-0,038681783
3352,206;-0,038602967
3350,277;-0,039147258
